"v1","v2","v3","v4","v5","v6"
37,29,40,32,40,19
26,34,30,26,32,18
26,31,31,32,24,20
29,32,38,31,32,33
31,29,30,30,36,20
29,32,23,37,33,24
32,31,25,22,30,28
30,37,23,38,36,34
21,29,31,27,28,22
33,27,28,21,38,21
25,21,26,36,23,27
24,32,30,37,31,23
32,22,23,28,37,27
36,35,34,26,32,28
24,31,27,23,41,20
29,33,38,36,36,26
23,37,27,30,35,21
26,30,28,36,28,19
20,32,28,32,21,28
29,34,27,27,35,27
25,26,36,28,18,25
29,32,29,32,38,18
34,42,27,32,23,16
29,30,37,37,29,28
32,29,39,38,38,37
27,40,35,27,40,33
27,36,25,29,35,23
42,30,25,27,24,29
22,31,29,32,27,28
46,39,20,23,37,38
30,29,26,24,30,27
22,32,31,32,36,28
27,26,36,26,30,16
30,28,41,17,31,33
30,31,36,25,27,24
29,26,22,33,24,25
29,34,34,29,27,16
33,30,28,31,27,17
23,28,35,25,17,25
32,29,25,22,29,30
24,27,20,25,29,40
30,40,22,31,35,31
32,27,26,17,24,29
30,33,36,25,32,28
32,28,35,34,24,26
25,35,32,36,37,24
23,35,35,29,35,22
36,25,41,29,30,34
24,33,24,48,40,22
31,28,23,32,31,33
35,28,34,36,24,23
28,40,38,25,40,24
25,28,37,32,30,29
31,27,26,25,33,18
33,26,24,28,27,25
33,31,29,22,31,25
22,29,28,46,27,25
24,30,32,38,32,23
33,27,33,25,30,19
29,37,35,25,18,23
34,29,24,24,25,25
27,35,31,36,31,24
32,33,31,28,37,26
31,21,36,32,32,30
28,28,28,31,38,18
25,32,33,39,29,31
23,24,35,32,29,30
39,33,37,21,33,29
30,31,20,25,29,31
25,37,23,39,24,26
21,36,39,29,27,32
27,24,27,38,36,28
28,36,32,32,37,27
24,29,26,33,33,30
23,30,31,29,32,21
40,36,36,18,29,18
31,30,32,35,39,22
23,24,32,28,34,23
26,40,27,20,36,22
17,34,29,33,39,23
29,30,28,34,24,23
36,20,27,36,30,27
24,27,30,28,38,20
34,29,35,30,29,24
33,28,25,28,18,32
32,38,35,31,36,28
25,30,32,33,37,20
28,24,25,31,18,23
31,29,28,34,21,19
29,26,36,35,36,19
32,28,24,30,28,24
26,36,26,36,42,24
24,29,27,32,27,19
26,33,26,24,28,21
27,27,22,26,27,19
38,22,27,28,25,21
40,25,33,24,29,19
20,30,30,40,26,29
19,35,26,31,31,26
35,27,39,33,29,31
23,33,38,29,29,31
30,36,36,24,28,18
16,32,34,36,29,31
29,28,28,40,39,27
26,33,28,32,29,20
34,25,34,27,28,21
29,17,28,23,22,19
30,27,30,22,31,25
31,28,26,34,32,15
36,32,34,29,27,26
17,27,35,32,29,29
33,29,41,30,30,30
24,33,25,32,33,29
19,25,33,34,31,18
34,31,25,30,35,18
26,27,29,33,35,25
28,36,32,38,30,21
36,32,30,15,42,28
30,28,27,33,36,18
27,28,26,31,32,29
27,31,31,28,33,13
29,32,36,31,19,28
29,20,37,35,34,24
26,16,30,23,25,17
34,28,32,30,32,27
33,31,33,22,28,29
29,31,37,25,27,30
26,29,36,33,26,29
18,35,40,42,36,23
24,35,29,36,34,16
35,31,32,22,25,32
28,32,35,30,33,28
19,24,26,31,27,26
28,24,30,29,22,26
28,30,34,31,24,25
29,31,26,38,29,22
33,32,34,31,28,24
38,36,30,33,22,25
28,27,18,25,28,31
28,32,29,34,34,22
25,33,35,36,35,20
28,38,26,36,29,18
30,26,29,30,29,28
22,39,37,29,43,30
32,30,24,28,30,17
22,29,31,35,20,22
25,28,34,30,23,18
26,27,37,34,29,16
31,31,26,29,27,19
